Mes / Año;Rusia 🇷🇺;Israel 🇮🇱;Estados Unidos 🇺🇸
Enero de 2023;El Kremlin nombra a Valery Gerasimov como jefe directo de la ofensiva en Ucrania para centralizar el mando militar tras meses de reveses estratégicos. ;Masivas protestan estanlan en Tel Aviv contra el plan de reforma judicial de Netanyahu, visto como una amenaza a la separación de poderes.;Joe Biden anuncia el envío de 31 tanques M1 Abrams para reforzar la defensa ucraniana, rompiendo un tabú sobre armamento pesado.
Febrero de 2023;Vladímir Putin suspende la participación de Rusia en el tratado New START , eliminando el último control sobre armas nucleares. ;"El parlamento israelí aprueba leyes que limitan la capacidad de la Corte Suprema para decisiones anulares gubernamentales ""irrazonables"". ";Biden realiza una visita sorpresa a Kiev para reafirmar el apoyo de Estados Unidos a Ucrania. A a un año del inicio de la invasión a gran escala. 
Junio ​​de 2023;Yevgueni Prigozhin lidera una armada de rebelión del Grupo Wagner que toma Rostov y avanza hacia Moscú antes de ser frenada por un acuerdo. ;Israel lanza una operación militar masiva en el campamento de Yenín para desmantelar la infraestructura de las milicias palestinas. ;El presidente Biden firma la ley que eleva el techo de la deuda federal, evitando un impago histórico de la deuda estadounidense.
Octubre de 2023;Rusia revoca la ratificación del Tratado de Prohibición de Ensayos Nucleares (CTBT), aumentando la tensión nuclear global. ;Hamás lanza un ataque masivo el 7 de octubre , matando a 1.200 personas e iniciando la guerra total en la Franja de Gaza.;Biden solicita un paquete de emergencia de $106 mil millones al Congreso para apoyar militarmente a Israel y Ucrania. 
Febrero de 2024;Rusia captura la ciudad estratégica de Avdiivka y se reporta la muerte del líder opositor Alexéi Navalny en una prisión del Ártico. ;Israel presenta su plan de seguridad para la Gaza de posguerra, insistiendo en mantener el control militar del territorio.;La administración Biden impone sanciones financieras directas a colonos israelíes acusados ​​de violencia en Cisjordania.
Noviembre de 2024;"Rusia utiliza el misil hipersónico ""Oreshnik"" contra Dnipro como advertencia por el uso de misiles occidentales de largo alcance.";Benjamin Netanyahu destituyó al ministro de Defensa, Yoav Gallant, generando una nueva ola de protestas internas en Israel. ;Donald Trump gana las elecciones presidenciales , asegurando un segundo mandato con promesas de negociaciones de paz rápidas.
Enero de 2025;"Putin anuncia ""limpieza de élites"" occidentales";Netanyahu sobrevive a una crisis de presupuesto.;Toma de posesión de Donald Trump.
Mayo de  2025;Ofensiva rusa para capturar Pokrovsk ;"Israel anuncia control ""indefinido"" en Gaza.";Trump impone aranceles del 60% a China.
Octubre de 2025;Rusia ratifica la alianza de defensa con Corea del Norte;Marchas masivas por los 2 años del ataque del grupo militante palestino Hamás contra Israel.;EE.UU recorta ayuda a la Agencia de Naciones Unidas para los Refugiados de Palestina en Oriente Próximo permanentemente.
Enero de 2026;Putin abre diálogos en Moscú para discutir una zona de exclusión en Ucrania bajo la nueva mediación de la administración Trump. ;La coalición de Netanyahu enfrenta fracturas críticas por la gestión humanitaria de Gaza y la reapertura parcial del paso de Rafah.;Donald Trump asume la presidencia e inicia la purga de altos mandos de inteligencia bajo su doctrina de seguridad nacional.
Febrero de 2026;Rusia rompe la tregua invernal con bombardeos masivos a la red eléctrica ucraniana mientras negocia desde una posición de fuerza.;El gobierno israelí restringe las operaciones de ONG en Gaza bajo nuevas normativas de seguridad nacional antes de las elecciones.;El tratado New START  (Tratado de Reducción de Armas Estratégicas)  expira formalmente el 5 de febrero , dejando al mundo sin acuerdos de inspección nuclear vigentes. 
